id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,last_updated
decentraland,mana,Decentraland,0.302871,557933352,66,664279039.0,44158249.0,1842069104.23932,2193179327.32015,2193179327.32015,5.85,-94.81991,0.00923681,3181.1946,2023-08-25T12:59:47.536Z
rollbit-coin,rlb,Rollbit Coin,0.16536,553207328,67,838967919.0,12744337.0,3296951621.59,3296951622.0,5000000000.0,0.213089,-21.54986,0.00093506,17777.89497,2023-08-25T12:59:50.663Z
radix,xrd,Radix,0.053669,547637220,68,1283487335.0,1861030.0,10240298380.8544,12640298377.5187,24000000000.0,0.651264,-91.84733,0.03145312,68.80791,2023-08-25T12:59:16.292Z
render-token,rndr,Render,1.45,539178878,69,769859003.0,21734628.0,371908453.108796,531024271.388796,531024271.388796,8.78,-83.50864,0.03665669,3851.36052,2023-08-25T12:59:47.579Z
gatechain-token,gt,Gate,3.87,532343147,70,1162595655.0,413364.0,137367573.56752193,300000000.0,,12.94,-70.07223,0.25754,1403.92417,2023-08-25T12:59:30.344Z
apecoin,ape,ApeCoin,1.42,522184765,71,1416694572.0,57906465.0,368593750.0,1000000000.0,1000000000.0,26.7,-94.69565,1.4,0.91519,2023-08-25T12:59:52.846Z
paxos-standard,usdp,Pax Dollar,0.999671,508652687,72,508652687.0,23372776.0,508796841.120683,508796841.120683,,1.13,-11.33211,0.863529,15.7906,2023-08-25T12:59:44.472Z
neo,neo,NEO,7.05,497233993,73,704996446.0,17902293.0,70530000.0,100000000.0,,198.38,-96.44718,0.078349,8895.7589,2023-08-25T12:59:52.641Z
gala,gala,GALA,0.01915677,490952471,74,957754738.0,481579760.0,25630385893.9455,25630424394.0915,50000000000.0,0.824837,-97.67675,0.00013475,14121.24411,2023-08-25T12:59:49.128Z
flex-coin,flex,FLEX Coin,4.94,490056948,75,490408733.0,6965.03,98664938.6988896,98735764.894,98735764.894,12.32,-59.67556,0.00047299,1050348.35275,2023-08-25T12:59:17.680Z
kava,kava,Kava,0.680911,489192045,76,489181329.0,9387652.0,718296187.0,718334160.0,,9.12,-92.53652,0.287137,137.06007,2023-08-25T12:59:48.468Z
pax-gold,paxg,PAX Gold,1906.84,475612190,77,475612190.0,8091217.0,249149.609,249149.609,,2241.37,-14.8254,1399.64,36.39759,2023-08-25T12:59:54.242Z
tether-gold,xaut,Tether Gold,1918.04,472840768,78,472840768.0,3320031.0,246524.33,246524.33,,2169.74,-11.56336,1447.84,32.5315,2023-08-25T12:59:48.655Z
rocket-pool,rpl,Rocket Pool,23.87,468563630,79,468563630.0,2676849.0,19620795.3927166,19620795.3927166,,61.9,-61.40205,0.00884718,269944.62465,2023-08-25T12:59:43.611Z
compound-ether,ceth,cETH,33.21,467179788,80,467179788.0,4941.88,14065733.2333235,14065733.2333235,,97.75,-66.02164,1.89,1660.8146,2023-08-25T12:00:01.840Z
ecash,xec,eCash,2.375e-05,463381109,81,499535953.0,2889369.0,19480085923093.0,21000000000000.0,21000000000000.0,0.00038001,-93.73583,1.847e-05,28.88363,2023-08-25T12:59:39.868Z
flow,flow,Flow,0.447575,463277317,82,648577958.0,21381812.0,1036200000.0,1450656993.87114,1450656993.87114,42.4,-98.94493,0.431078,3.76784,2023-08-25T12:59:49.495Z
thorchain,rune,THORChain,1.52,458640027,83,762619175.0,107080555.0,300700561.0,500000000.0,500000000.0,20.87,-92.6884,0.00851264,17823.37507,2023-08-25T12:59:46.268Z
klay-token,klay,Klaytn,0.13815,441202856,84,,3882598.0,3192587840.0609,,,4.34,-96.81479,0.06044,128.66414,2023-08-25T12:59:40.576Z
chiliz,chz,Chiliz,0.06263,437358138,85,557314297.0,23054889.0,6975647158.46,8888888888.0,8888888888.0,0.878633,-92.86303,0.00410887,1426.15594,2023-08-25T12:59:43.665Z
kucoin-shares,kcs,KuCoin,4.52,437264858,86,651980453.0,1106875.0,96732986.425851,144232986.425767,,28.83,-84.30097,0.342863,1220.06398,2023-08-25T12:59:45.280Z
frax-share,fxs,Frax Share,5.96,436416286,87,593322597.0,15318946.0,73320362.9280515,99681495.5911336,99681495.5911336,42.8,-86.08897,1.5,296.09141,2023-08-25T12:59:41.084Z
frax-ether,frxeth,Frax Ether,1652.86,420836765,88,420836765.0,1410530.0,254683.219282724,254683.219282724,,2134.61,-22.5608,1137.25,45.35322,2023-08-25T12:59:54.032Z
casper-network,cspr,Casper Network,0.03596523,405380740,89,430208036.0,2245018.0,11271216697.0,11961515481.0,,1.33,-97.27866,0.02241297,60.93287,2023-08-25T12:59:44.911Z
iota,miota,IOTA,0.145675,405062139,90,405062139.0,4478540.0,2779530283.277761,2779530283.0,,5.25,-97.22128,0.081637,78.6545,2023-08-25T12:59:48.252Z
tokenize-xchange,tkx,Tokenize Xchange,4.93,394825348,91,493556363.0,5663814.0,79995999.94518414,100000000.0,100000000.0,22.3,-77.89012,0.111255,4330.97762,2023-08-25T12:58:56.612Z
sui,sui,Sui,0.546341,394573490,92,5456223998.0,114836720.0,723162190.461538,10000000000.0,10000000000.0,2.16,-74.81513,0.462847,17.66886,2023-08-25T12:59:48.495Z
bittorrent,btt,BitTorrent,4.06871e-07,387662884,93,403381854.0,13512366.0,951421714286000.0,990000000000000.0,990000000000000.0,3.43e-06,-88.1165,4.04477e-07,0.8124,2023-08-25T12:59:44.983Z
huobi-token,ht,Huobi,2.41,384285240,94,484677554.0,9744169.0,159406077.0,201050000.0,201050000.0,39.66,-93.91754,0.3138,668.75406,2023-08-25T12:59:45.287Z
curve-dao-token,crv,Curve DAO,0.446776,382306006,95,1477168365.0,37153239.0,854857410.0,2001183420.58977,3303030299.0,15.37,-97.09119,0.331577,34.8538,2023-08-25T12:59:47.112Z
mina-protocol,mina,Mina Protocol,0.390724,375591394,96,418867821.0,6092931.0,956766423.840039,1067007052.84004,,9.09,-95.68166,0.372282,5.44481,2023-08-25T12:59:43.824Z
dydx,dydx,dYdX,2.17,375317204,97,2166559718.0,98286337.0,173231876.02906996,1000000000.0,1000000000.0,27.86,-92.21965,1.011,114.48984,2023-08-25T12:59:51.203Z
pepe,pepe,Pepe,8.87419e-07,372146515,98,372146515.0,300536585.0,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-79.43859,5.5142e-08,1506.02165,2023-08-25T12:59:48.184Z
terra-luna,lunc,Terra Luna Classic,6.245e-05,362764397,99,426545846.0,15203631.0,5815619773169.04,6838125446761.16,,119.18,-99.99995,9.99967e-07,6152.02919,2023-08-25T12:59:48.349Z
trust-wallet-token,twt,Trust Wallet,0.846003,352659595,100,846417087.0,7655400.0,416649900.0,1000000000.0,,2.72,-68.85712,0.00277641,30420.31071,2023-08-25T12:59:50.996Z
nexo,nexo,NEXO,0.592249,336849374,101,601516729.0,2121987.0,560000010.0064,1000000000.0,1000000000.0,4.07,-85.21006,0.04515276,1232.47776,2023-08-25T12:59:45.172Z
bone-shibaswap,bone,Bone ShibaSwap,1.43,330016747,102,358834927.0,11920951.0,229922397.54098353,230003022.824847,250000000.0,15.5,-90.71651,0.0,1.6198766141268708e+37,2023-08-25T12:59:42.668Z
gmx,gmx,GMX,36.63,328480396,103,485316008.0,8984041.0,8968105.68743704,8968108.46795734,13250000.0,91.07,-59.79961,11.53,217.42262,2023-08-25T12:59:52.872Z
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,1734.08,324639964,104,2117754597.0,2722747.0,187229.280940792,1221370.48598093,,2191.04,-20.82691,1036.96,67.28895,2023-08-25T12:59:11.654Z
first-digital-usd,fdusd,First Digital USD,0.99944,323830766,105,323830766.0,118638828.0,323997226.82,323997226.82,,1.026,-2.52094,0.942129,6.11141,2023-08-25T12:58:37.851Z
nxm,nxm,Nexus Mutual,47.32,319804963,106,319804963.0,13520.53,6758950.56125865,6758950.56125865,6758950.56125865,185.97,-74.5578,6.96,579.54073,2023-08-25T12:07:01.054Z
apenft,nft,APENFT,3.22067e-07,318995993,107,322180560.0,20924863.0,990105683025577.0,999990000000000.0,999990000000000.0,7.53e-06,-95.72189,2.98737e-07,7.83501,2023-08-25T12:59:46.842Z
woo-network,woo,WOO Network,0.182094,314760240,108,408112783.0,11349745.0,1735838572.87828,2250658820.90186,2250658820.90186,1.78,-89.8052,0.02211546,719.7591,2023-08-25T12:59:41.586Z
gemini-dollar,gusd,Gemini Dollar,0.997917,310978457,109,310978457.0,485319.0,311556305.13,311556305.13,,3.3,-69.77652,0.78261,27.59137,2023-08-25T12:59:35.345Z
flare-networks,flr,Flare,0.013291,303780311,110,1348220093.0,2760659.0,22803991386.8528,101207346984.682,,0.150073,-91.12186,0.01228846,8.42443,2023-08-25T12:59:54.270Z
staked-frax-ether,sfrxeth,Staked Frax Ether,1742.94,293452736,111,293452736.0,14035.67,168356.293934751,168356.293934751,,7545.09,-76.88811,1147.58,51.95516,2023-08-25T12:58:40.129Z
astar,astr,Astar,0.061999,293400139,112,503506302.0,18405943.0,4724716336.0,8108165784.0,,0.421574,-85.26229,0.03269521,90.02874,2023-08-25T12:59:37.151Z
liquity-usd,lusd,Liquity USD,0.996739,290212556,113,290212556.0,3990958.0,291130736.781634,291130736.781634,,1.16,-13.92194,0.896722,11.18978,2023-08-25T12:59:21.320Z
compound-governance-token,comp,Compound,42.1,288597859,114,420936769.0,29160932.0,6856085.76329154,10000000.0,10000000.0,910.54,-95.38256,25.74,63.33812,2023-08-25T12:59:49.791Z
dash,dash,Dash,25.16,287438595,115,476112486.0,35544908.0,11422381.0223831,18920000.0,,1493.59,-98.31131,0.213899,11691.6029,2023-08-25T12:59:52.890Z
akash-network,akt,Akash Network,1.34,286798443,116,512574968.0,4435457.0,217397238.259295,217398069.162771,388539008.0,8.07,-83.66429,0.164994,699.48623,2023-08-25T12:59:12.706Z
compound-usd-coin,cusdc,cUSDC,0.02300758,283293881,117,278539795.0,3.22,12313068827.9146,12106437546.5107,,0.058843,-60.90034,0.00620705,270.66821,2023-08-25T12:00:05.484Z
zilliqa,zil,Zilliqa,0.01668077,282167920,118,350308801.0,10539713.0,16915151179.0935,17964157368.4435,21000000000.0,0.255376,-93.47345,0.00239616,595.58109,2023-08-25T12:59:53.136Z
mx-token,mx,MX,2.76,277400804,119,1194118184.0,343400.0,100709834.0,433522334.0,,3.7,-25.52513,0.04218457,6430.41461,2023-08-25T12:58:30.837Z
pancakeswap-token,cake,PancakeSwap,1.27,270965681,120,950440911.0,19167579.0,213821036.332802,389468111.376309,750000000.0,43.96,-97.11512,0.194441,552.29436,2023-08-25T12:59:45.315Z
arweave,ar,Arweave,4.09,267538693,121,269769666.0,26864457.0,65454185.5381511,65454185.5381511,66000000.0,89.24,-95.41934,0.298788,1268.0487,2023-08-25T12:59:49.677Z
ecomi,omi,ECOMI,0.00098261,266886097,122,739452132.0,1544063.0,270693076652.645,310898089670.235,750000000000.0,0.01343572,-92.67599,3.37e-06,29091.53652,2023-08-25T12:59:44.814Z
gnosis,gno,Gnosis,100.53,260127597,123,301353917.0,1046136.0,2589589.0,3000000.0,3000000.0,644.2,-84.41175,6.88,1358.72211,2023-08-25T12:59:38.363Z
basic-attention-token,bat,Basic Attention,0.173815,258766434,124,260511690.0,12621322.0,1489950991.7326057,1500000000.0,1500000000.0,1.9,-90.85992,0.072394,139.95465,2023-08-25T12:59:48.311Z
sei-network,sei,Sei,0.140048,252864338,125,1404801879.0,74217717.0,1800000000.0,10000000000.0,,0.455153,-69.10996,0.139528,0.76606,2023-08-25T12:59:48.112Z
1inch,1inch,1inch,0.244409,251651863,126,366307930.0,14686856.0,1030493101.19147,1500000000.0,1500000000.0,8.65,-97.175,0.227729,7.32422,2023-08-25T12:59:51.109Z
conflux-token,cfx,Conflux,0.119942,251406576,127,633446024.0,28278832.0,2097547687.26523,5284997962.62513,,1.7,-92.95268,0.02199898,444.86189,2023-08-25T12:59:47.737Z
chia,xch,Chia,29.93,247465757,128,875516133.0,1583847.0,8274358.67517418,29274522.6792486,,1645.12,-98.18084,26.27,13.91635,2023-08-25T12:59:50.003Z
osmosis,osmo,Osmosis,0.403026,246819838,129,403036998.0,6850229.0,612399952.0,325000000.0,1000000000.0,11.25,-96.41558,0.395259,2.01275,2023-08-25T12:59:40.311Z
oec-token,okt,OKT Chain,13.66,243728051,130,286779370.0,479163.0,17847480.0,17847259.5,21000000.0,250.53,-94.54686,13.02,4.90182,2023-08-25T12:59:39.956Z
illuvium,ilv,Illuvium,42.62,242659994,131,410219208.0,1350494.0,5690286.64003467,9619487.92129709,,1911.26,-97.77067,29.23,45.78796,2023-08-25T12:59:46.124Z
enjincoin,enj,Enjin Coin,0.239064,239088921,132,239088921.0,11293803.0,1000000000.0,1000000000.0,1000000000.0,4.82,-95.03477,0.01865964,1182.39837,2023-08-25T12:59:48.376Z
bitcoin-gold,btg,Bitcoin Gold,13.53,236710050,133,283826232.0,2095308.0,17513924.0,21000000.0,,456.25,-97.03465,4.25,218.00311,2023-08-25T12:59:54.017Z
safepal,sfp,SafePal,0.560842,235813717,134,280174714.0,17217833.0,420833333.334,500000000.0,500000000.0,4.19,-86.64145,0.269235,107.76932,2023-08-25T12:59:26.314Z
huobi-btc,hbtc,Huobi BTC,26063.0,233771532,135,233771532.0,290.51,8969.497004742,8969.497004742,8969.497004742,166135.0,-84.31216,10704.55,143.47552,2023-08-25T11:43:09.685Z
escoin-token,elg,Escoin,2.71,228752259,136,,394573.0,0.0,250000000.0,,3.61,-24.7793,0.00064644,419972.32062,2023-08-25T12:59:54.115Z
qtum,qtum,Qtum,2.18,228709920,137,235317573.0,17753720.0,104794782.5,107822406.0,,100.22,-97.81963,0.783142,179.03642,2023-08-25T12:59:51.572Z
nem,xem,NEM,0.02524006,227163707,138,227163707.0,3308846.0,8999999999.0,8999999999.0,,1.87,-98.64491,8.482e-05,29753.08473,2023-08-25T12:59:53.922Z
loopring,lrc,Loopring,0.182041,226809350,139,250204445.0,9225441.0,1245991468.94246,1373873397.44246,1374513896.0,3.75,-95.13938,0.01963893,828.0826,2023-08-25T12:59:46.969Z
tether-eurt,eurt,Euro Tether,1.081,222664785,140,432361316.0,830674.0,205998829.98,400000050.0,400000050.0,1.31,-17.28128,0.944541,14.47628,2023-08-25T12:59:48.523Z
convex-finance,cvx,Convex Finance,2.77,221714189,141,277407775.0,3398375.0,79923567.1340594,98809344.9587758,100000000.0,60.09,-95.38092,1.9,45.85797,2023-08-25T12:59:48.372Z
fetch-ai,fet,Fetch.ai,0.211243,221020844,142,244221927.0,42600420.0,1043462805.0,1152997575.0,1152997575.0,1.17,-82.00377,0.00816959,2481.7081,2023-08-25T12:59:53.155Z
singularitynet,agix,SingularityNET,0.177894,219069780,143,355493013.0,42137002.0,1232484305.88493,1324917189.06187,2000000000.0,0.95023,-81.34576,0.00747159,2272.42903,2023-08-25T12:59:44.182Z
mask-network,mask,Mask Network,2.66,218828453,144,266498344.0,39666471.0,82112500.0,100000000.0,100000000.0,41.45,-93.56707,0.976528,173.02422,2023-08-25T12:59:54.169Z
helium,hnt,Helium,1.52,218732175,145,338884468.0,921683.0,143934820.830308,223000000.0,223000000.0,54.88,-97.2326,0.113248,1241.01463,2023-08-25T12:59:50.936Z
celo,celo,Celo,0.421946,214196110,146,421274220.0,6206107.0,508448178.0,1000000000.0,1000000000.0,9.82,-95.70703,0.376843,11.88374,2023-08-25T12:59:44.789Z
theta-fuel,tfuel,Theta Fuel,0.03311495,207110711,147,207111276.0,1056777.0,6256702622.0,6256719689.0,,0.68159,-95.14192,0.00090804,3546.56302,2023-08-25T12:59:38.304Z
ethereum-name-service,ens,Ethereum Name Service,8.0,206239879,148,799899208.0,8013153.0,25783233.34309683,100000000.0,100000000.0,83.4,-90.40249,7.05,13.53861,2023-08-25T12:59:50.149Z
zcash,zec,Zcash,24.83,205515939,149,521619136.0,21469949.0,8273919.48356733,21000000.0,21000000.0,3191.93,-99.22123,19.75,25.83968,2023-08-25T12:59:44.712Z
beldex,bdx,Beldex,0.03649842,203816064,150,362129243.0,3147876.0,5582807785.10573,9919227766.35573,,137242055.0,-100.0,0.00027519,13187.4142,2023-08-25T12:59:40.284Z
decred,dcr,Decred,13.16,202311768,151,275212501.0,2508417.0,15437333.3834545,21000000.0,,247.35,-94.69298,0.43154,2941.89238,2023-08-25T12:59:40.079Z
oasis-network,rose,Oasis Network,0.03998866,201061489,152,399775721.0,10652530.0,5029357184.0,10000000000.0,10000000000.0,0.597347,-93.30595,0.03200566,24.9363,2023-08-25T12:59:27.908Z
ankr,ankr,Ankr Network,0.0198938,199099215,153,199099215.0,7012823.0,10000000000.0,10000000000.0,10000000000.0,0.213513,-90.68018,0.00070728,2713.45238,2023-08-25T12:59:50.687Z
defichain,dfi,DeFiChain,0.268644,198779981,154,322398224.0,23819351.0,739879935.951977,1200000000.0,,5.61,-95.21003,0.162998,64.95418,2023-08-25T12:59:38.145Z
aleph-zero,azero,Aleph Zero,0.831201,198734111,155,282669293.0,518173.0,238879049.848445,339769412.932244,,3.09,-73.13543,0.592052,40.4213,2023-08-25T12:59:41.922Z
cdai,cdai,cDAI,0.02238008,198607679,156,198607679.0,14222.26,8874305346.74857,8874305346.74857,,0.03159087,-29.15648,0.00728854,207.05834,2023-08-25T12:59:11.975Z
tominet,tomi,tomiNet,2.62,197387023,157,307554218.0,21331930.0,74560384.0857761,116174611.171964,,6.59,-59.82397,0.154561,1612.43973,2023-08-25T12:59:18.663Z
holotoken,hot,Holo,0.00108357,192591803,158,192591803.0,8394257.0,177619433541.141,177619433541.141,,0.03126682,-96.53605,0.0002202,391.85919,2023-08-25T12:59:44.829Z
olympus,ohm,Olympus,10.7,189315521,159,283584879.0,649629.0,17700203.1509985,26513990.8128208,26513990.8128208,1415.26,-99.24411,7.54,41.81251,2023-08-25T12:59:17.498Z
livepeer,lpt,Livepeer,6.64,188771982,160,188771982.0,62441933.0,28804720.7610874,28813463.3266305,28813463.3266305,99.03,-93.44335,0.354051,1733.8915,2023-08-25T12:59:41.678Z
compound-usdt,cusdt,cUSDT,0.015494,186141955,161,182703173.0,8.25,12013809911.6916,11791867069.5349,,0.02468599,-37.23566,0.00209672,638.96319,2023-08-21T03:29:47.573Z
open-exchange-token,ox,Open Exchange Token,0.04938118,185005704,162,478668420.0,2385751.0,3810897418.71,3810897418.71282,9860000000.0,0.081313,-41.92097,0.01024732,360.86262,2023-08-25T12:59:51.211Z
yearn-finance,yfi,yearn.finance,5578.62,184395533,163,204622003.0,20888356.0,33041.64014574912,36666.0,36666.0,90787.0,-93.84539,31.65,17556.97532,2023-08-25T12:59:43.368Z
stepn,gmt,STEPN,0.167587,184170913,164,1006153534.0,13844056.0,1098267251.65965,5434867271.65915,6000000000.0,4.11,-95.9194,0.100826,66.23159,2023-08-25T12:59:45.811Z
just,jst,JUST,0.02063775,184042729,165,204673853.0,27494345.0,8902080000.0,9900000000.0,9900000000.0,0.193254,-89.29717,0.00476275,334.28,2023-08-25T12:59:48.365Z
ravencoin,rvn,Ravencoin,0.01514612,180416888,166,180414049.0,4961857.0,11907968088.8129,11907780693.8129,,0.285218,-94.68345,0.00893232,69.76277,2023-08-25T12:59:46.134Z
eusd-27a558b0-8b5b-4225-a614-63539da936f4,eusd,eUSD,1.049,180129868,167,180129868.0,44609.0,171678476.82116,171678476.82116,,1.33,-21.34549,0.961065,9.22067,2023-08-25T12:57:13.654Z
gains-farm,gfarm2,Gains Farm,5000.3,179180231,168,179180231.0,5067.35,35833.8919623323,35833.8919623323,35833.8919623323,11444.33,-56.3076,18.04,27625.3855,2023-08-10T06:33:24.363Z
blur,blur,Blur,0.203667,177283094,169,610885227.0,17617864.0,870620632.61035,3000000000.0,3000000000.0,5.02,-95.93721,0.191618,6.35708,2023-08-25T12:59:45.282Z
wemix-token,wemix,WEMIX,0.555376,175412705,170,542359977.0,2011135.0,314341116.977822,971913871.237911,,24.71,-97.75571,0.128398,331.94113,2023-08-25T12:59:47.878Z
floki,floki,FLOKI,1.757e-05,174890154,171,175862061.0,7418457.0,9944734673500.0,10000000000000.0,,0.00033651,-94.76662,8.428e-08,20795.4666,2023-08-25T12:59:48.818Z
baby-doge-coin,babydoge,Baby Doge Coin,1.108e-09,173348680,172,466334750.0,676076.0,1.561248560922935e+17,4.2e+17,4.2e+17,6.345e-09,-82.47781,9.4771e-11,1073.07847,2023-08-25T12:59:44.718Z
golem,glm,Golem,0.170677,170844404,173,170844404.0,1683351.0,1000000000.0,1000000000.0,,1.32,-87.10079,0.00913753,1769.48732,2023-08-25T12:59:36.418Z
kusama,ksm,Kusama,18.98,170204551,174,189535292.0,9839101.0,8980098.074112339,10000000.0,10000000.0,621.71,-96.95254,0.876572,2061.39868,2023-08-25T12:59:45.282Z
aragon,ant,Aragon,4.24,169094032,175,190485528.0,13366441.0,40030814.330505036,43167647.3965443,45094973.0,14.64,-71.06926,0.301888,1302.77689,2023-08-25T12:59:42.367Z
